Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 28478,Claim 49468,Low,Low
Truck 9721,Claim 49469,Low,Low
Truck 38899,Claim 49470,Low,Low
Truck 20217,Claim 49471,Very Low,Very Low
Truck 20237,Claim 49472,Very Low,Very Low
Truck 20201,Claim 49473,Very Low,Very Low
Truck 21137,Claim 49474,Low,Very Low
Truck 7116,Claim 49475,Low,Very Low
Truck 38974,Claim 49476,Low,Very Low
Truck 7583,Claim 49477,Low,Low
Truck 2601,Claim 49478,Low,Low
Truck 44502,Claim 49479,Very Low,Very Low
Truck 11305,Claim 49480,Low,Low
Truck 34122,Claim 49481,Low,Low
Truck 24471,Claim 49482,Very Low,Very Low
Truck 45,Claim 49483,Low,Low
Truck 1487,Claim 49484,Low,Low
Truck 820,Claim 49485,Low,Low
Truck 41219,Claim 49486,Low,Low
Truck 19533,Claim 49487,Low,Low
Truck 23695,Claim 49488,Low,Low
Truck 11462,Claim 49489,Low,Low
Truck 4340,Claim 49490,Low,Low
Truck 23763,Claim 49491,Low,Low
Truck 16618,Claim 49492,Low,Low
Truck 19548,Claim 49493,Low,Low
Truck 46176,Claim 49494,Low,Low
Truck 9689,Claim 49495,Low,Low
Truck 35409,Claim 49496,Low,Low
Truck 2979,Claim 49497,Low,Low
Truck 1270,Claim 49498,Low,Low
Truck 13594,Claim 49499,Low,Low
Truck 5595,Claim 49500,Low,Very Low
Truck 27214,Claim 49501,Low,Low
Truck 26253,Claim 49502,Low,Low
Truck 14336,Claim 49503,Low,Low
Truck 23770,Claim 49504,Low,Low
Truck 13805,Claim 49505,Very Low,Very Low
Truck 38907,Claim 49506,Low,Low
Truck 20212,Claim 49507,Very Low,Very Low
Truck 11762,Claim 49508,Low,Low
Truck 37336,Claim 49509,Low,Very Low
Truck 5145,Claim 49510,Low,Very Low
Truck 23660,Claim 49511,Low,Low
Truck 27187,Claim 49512,Low,Low
Truck 35009,Claim 49513,Low,Very Low
Truck 7665,Claim 49514,Low,Low
Truck 33038,Claim 49515,Very Low,Very Low
Truck 47206,Claim 49516,Low,Very Low
Truck 6029,Claim 49517,Low,Low
Truck 25467,Claim 49518,Low,Low
Truck 8523,Claim 49519,Low,Low
Truck 21767,Claim 49520,Low,Low
Truck 19074,Claim 49521,Low,Low
Truck 19251,Claim 49522,Low,Very Low
Truck 33216,Claim 49523,Low,Very Low
Truck 14555,Claim 49524,Low,Low
Truck 38908,Claim 49525,Low,Low
Truck 38960,Claim 49526,Low,Very Low
Truck 20212,Claim 49527,Low,Very Low
Truck 7620,Claim 49528,Low,Low
Truck 19260,Claim 49529,Very Low,Very Low
Truck 9137,Claim 49530,Low,Low
Truck 46665,Claim 49531,Low,Low
Truck 46378,Claim 49532,Low,Low
Truck 44171,Claim 49533,Low,Low
Truck 47491,Claim 49534,Low,Low
Truck 9402,Claim 49535,Low,Low
Truck 20887,Claim 49536,Low,Low
Truck 9260,Claim 49537,Low,Low
Truck 19304,Claim 49538,Very Low,Very Low
Truck 3052,Claim 49539,Low,Low
Truck 23835,Claim 49540,Low,Low
Truck 32808,Claim 49541,Very Low,Very Low
Truck 35968,Claim 49542,Low,Low
Truck 35979,Claim 49543,Low,Low
Truck 20233,Claim 49544,Very Low,Very Low
Truck 20236,Claim 49545,Very Low,Very Low
Truck 23607,Claim 49546,Low,Low
Truck 36306,Claim 49547,Low,Low
Truck 14698,Claim 49548,Low,Low
Truck 42116,Claim 49549,Low,Low
Truck 19671,Claim 49550,Low,Very Low
Truck 35057,Claim 49551,Low,Very Low
Truck 14513,Claim 49552,Low,Low
Truck 23734,Claim 49553,Very Low,Very Low
Truck 20222,Claim 49554,Low,Low
Truck 47333,Claim 49555,Low,Very Low
Truck 5065,Claim 49556,Low,Low
Truck 7319,Claim 49557,Low,Low
Truck 19773,Claim 49558,Low,Low
Truck 32683,Claim 49559,Low,Low
Truck 35536,Claim 49560,Very Low,Very Low
Truck 8182,Claim 49561,Low,Low
Truck 9499,Claim 49562,Low,Low
Truck 25674,Claim 49563,Low,Low
Truck 9684,Claim 49564,Low,Very Low
Truck 38949,Claim 49565,Low,Low
Truck 2912,Claim 49566,Low,Low
Truck 18989,Claim 49567,Low,Low
Truck 4159,Claim 49568,Low,Low
Truck 14801,Claim 49569,Low,Low
Truck 47154,Claim 49570,Low,Low
Truck 44892,Claim 49571,Low,Low
Truck 23776,Claim 49572,Low,Low
Truck 20224,Claim 49573,Low,Low
Truck 17045,Claim 49574,Low,Low
Truck 29788,Claim 49575,Low,Low
Truck 9153,Claim 49576,Low,Very Low
Truck 40646,Claim 49577,Low,Low
Truck 17447,Claim 49578,Low,Low
Truck 36973,Claim 49579,Low,Low
Truck 40904,Claim 49580,Low,Low
Truck 10573,Claim 49581,Low,Low
Truck 33954,Claim 49582,Low,Low
Truck 10713,Claim 49583,Low,Low
Truck 10746,Claim 49584,Very Low,Very Low
Truck 30672,Claim 49585,Low,Low
Truck 20994,Claim 49586,Low,Very Low
Truck 46283,Claim 49587,Low,Low
Truck 26189,Claim 49588,Low,Low
Truck 33431,Claim 49589,Low,Very Low
Truck 40403,Claim 49590,Low,Low
Truck 32526,Claim 49591,Low,Low
Truck 21399,Claim 49592,Low,Low
Truck 14017,Claim 49593,Low,Low
Truck 5055,Claim 49594,Low,Low
Truck 551,Claim 49595,Low,Low
Truck 31714,Claim 49596,Very Low,Very Low
Truck 36733,Claim 49597,Low,Very Low
Truck 7962,Claim 49598,Low,Low
Truck 30205,Claim 49599,Very Low,Very Low
Truck 4045,Claim 49600,Low,Very Low
Truck 38733,Claim 49601,Low,Very Low
Truck 38733,Claim 49602,Low,Very Low
Truck 47546,Claim 49603,Low,Low
Truck 13626,Claim 49604,Low,Low
Truck 11355,Claim 49605,Low,Low
Truck 19210,Claim 49606,Low,Low
Truck 46995,Claim 49607,Low,Very Low
Truck 35147,Claim 49608,Low,Low
Truck 38397,Claim 49609,Low,Low
Truck 34079,Claim 49610,Low,Low
Truck 4211,Claim 49611,Very Low,Very Low
Truck 47525,Claim 49612,Low,Very Low
Truck 31713,Claim 49613,Low,Very Low
Truck 5425,Claim 49614,Low,Very Low
Truck 46307,Claim 49615,Low,Very Low
Truck 9094,Claim 49616,Low,Very Low
Truck 35585,Claim 49617,Low,Very Low
Truck 42211,Claim 49618,Low,Very Low
Truck 41012,Claim 49619,Low,Very Low
Truck 4215,Claim 49620,Low,Very Low
Truck 15035,Claim 49621,Low,Very Low
Truck 15039,Claim 49622,Low,Very Low
Truck 7236,Claim 49623,Low,Very Low
Truck 7247,Claim 49624,Low,Very Low
Truck 15042,Claim 49625,Low,Very Low
Truck 7248,Claim 49626,Low,Very Low
Truck 15040,Claim 49627,Low,Very Low
Truck 15038,Claim 49628,Low,Very Low
Truck 15037,Claim 49629,Low,Very Low
Truck 7238,Claim 49630,Low,Very Low
Truck 15046,Claim 49631,Low,Very Low
Truck 15050,Claim 49632,Low,Very Low
Truck 15052,Claim 49633,Low,Very Low
Truck 15044,Claim 49634,Low,Very Low
Truck 15053,Claim 49635,Low,Very Low
Truck 15045,Claim 49636,Low,Very Low
Truck 15048,Claim 49637,Low,Very Low
Truck 15043,Claim 49638,Low,Very Low
Truck 7235,Claim 49639,Low,Very Low
Truck 38136,Claim 49640,Low,Very Low
Truck 8834,Claim 49641,Low,Very Low
Truck 44831,Claim 49642,Low,Very Low
Truck 5931,Claim 49643,Low,Very Low
Truck 45974,Claim 49644,Low,Very Low
Truck 15049,Claim 49645,Low,Very Low
Truck 41186,Claim 49646,Low,Low
Truck 28457,Claim 49647,Low,Low
Truck 23537,Claim 49648,Low,Low
Truck 23927,Claim 49649,Low,Low
Truck 22096,Claim 49650,Low,Low
Truck 43542,Claim 49651,Low,Low
Truck 6993,Claim 49652,Low,Low
Truck 18821,Claim 49653,Low,Low
Truck 8213,Claim 49654,Low,Low
Truck 35621,Claim 49655,Low,Low
Truck 10413,Claim 49656,Low,Low
Truck 36042,Claim 49657,Low,Low
Truck 43022,Claim 49658,Low,Low
Truck 8142,Claim 49659,Low,Low
Truck 34256,Claim 49660,Low,Low
Truck 7269,Claim 49661,Low,Low
Truck 26242,Claim 49662,Low,Low
Truck 46433,Claim 49663,Low,Low
Truck 23589,Claim 49664,Low,Low
Truck 24710,Claim 49665,Low,Low
Truck 45226,Claim 49666,Low,Low
Truck 19696,Claim 49667,Low,Low
Truck 46269,Claim 49668,Low,Low
Truck 11945,Claim 49669,Low,Low
Truck 27132,Claim 49670,Low,Low
Truck 48200,Claim 49671,Low,Low
Truck 10270,Claim 49672,Low,Low
Truck 30085,Claim 49673,Low,Low
Truck 6150,Claim 49674,Low,Low
Truck 15633,Claim 49675,Low,Low
Truck 6279,Claim 49676,Low,Low
Truck 35189,Claim 49677,Low,Low
Truck 41191,Claim 49678,Low,Low
Truck 20841,Claim 49679,Low,Low
Truck 6360,Claim 49680,Low,Low
Truck 4225,Claim 49681,Low,Low
Truck 45416,Claim 49682,Low,Low
Truck 24353,Claim 49683,Low,Low
Truck 11636,Claim 49684,Low,Low
Truck 45899,Claim 49685,Low,Low
Truck 758,Claim 49686,Low,Low
Truck 19793,Claim 49687,Low,Low
Truck 15005,Claim 49688,Low,Low
Truck 4899,Claim 49689,Low,Low
Truck 10261,Claim 49690,Low,Low
Truck 7062,Claim 49691,Low,Low
Truck 17692,Claim 49692,Low,Low
Truck 46324,Claim 49693,Low,Low
Truck 25950,Claim 49694,Low,Low
Truck 6383,Claim 49695,Low,Low
Truck 22817,Claim 49696,Low,Low
Truck 15017,Claim 49697,Low,Low
Truck 33198,Claim 49698,Low,Low
Truck 8165,Claim 49699,Low,Low
Truck 22941,Claim 49700,Low,Low
Truck 29798,Claim 49701,Low,Low
Truck 29743,Claim 49702,Low,Low
Truck 30729,Claim 49703,Low,Low
Truck 47000,Claim 49704,Low,Low
Truck 16773,Claim 49705,Low,Low
Truck 18842,Claim 49706,Low,Low
Truck 330,Claim 49707,Low,Low
Truck 15905,Claim 49708,Low,Very Low
Truck 46654,Claim 49709,Low,Very Low
Truck 45896,Claim 49710,Low,Low
Truck 20841,Claim 49711,Low,Low
Truck 41478,Claim 49712,Low,Low
Truck 31796,Claim 49713,Low,Low
Truck 1853,Claim 49714,Low,Very Low
Truck 41676,Claim 49715,Low,Low
Truck 29078,Claim 49716,Low,Low
Truck 28185,Claim 49717,Low,Low
Truck 34255,Claim 49718,Very Low,Very Low
Truck 7651,Claim 49719,Low,Low
Truck 18852,Claim 49720,Low,Low
Truck 30539,Claim 49721,Very Low,Very Low
Truck 41744,Claim 49722,Very Low,Very Low
Truck 45813,Claim 49723,Low,Low
Truck 46492,Claim 49724,Low,Low
Truck 24268,Claim 49725,Low,Low
Truck 14558,Claim 49726,Low,Very Low
Truck 5631,Claim 49727,Low,Very Low
Truck 9517,Claim 49728,Low,Very Low
Truck 1106,Claim 49729,Low,Low
Truck 10555,Claim 49730,Low,Low
Truck 12403,Claim 49731,Low,Low
Truck 9949,Claim 49732,Low,Low
Truck 6671,Claim 49733,Low,Low
Truck 13863,Claim 49734,Low,Low
Truck 41278,Claim 49735,Low,Low
Truck 34234,Claim 49736,Very Low,Very Low
Truck 650,Claim 49737,Low,Low
Truck 21033,Claim 49738,Very Low,Very Low
Truck 927,Claim 49739,Low,Low
Truck 4043,Claim 49740,Low,Low
Truck 45972,Claim 49741,Low,Low
Truck 32486,Claim 49742,Low,Very Low
Truck 39534,Claim 49743,Low,Low
Truck 36990,Claim 49744,Low,Low
Truck 21093,Claim 49745,Very Low,Very Low
Truck 4267,Claim 49746,Low,Low
Truck 38905,Claim 49747,Low,Low
Truck 30962,Claim 49748,Low,Low
Truck 11549,Claim 49749,Low,Low
Truck 12068,Claim 49750,Low,Low
Truck 15704,Claim 49751,Very Low,Very Low
Truck 44702,Claim 49752,Low,Low
Truck 10317,Claim 49753,Low,Low
Truck 9691,Claim 49754,Low,Very Low
Truck 28769,Claim 49755,Very Low,Very Low
Truck 5059,Claim 49756,Low,Low
Truck 39079,Claim 49757,Low,Low
Truck 48245,Claim 49758,Low,Low
Truck 28705,Claim 49759,Low,Low
Truck 2850,Claim 49760,Low,Low
Truck 48041,Claim 49761,Very Low,Very Low
Truck 43520,Claim 49762,Very Low,Very Low
Truck 12186,Claim 49763,Low,Very Low
Truck 24884,Claim 49764,Low,Low
Truck 31300,Claim 49765,Low,Very Low
Truck 23734,Claim 49766,Low,Low
Truck 10896,Claim 49767,Low,Low
Truck 29051,Claim 49768,Low,Low
Truck 29737,Claim 49769,Low,Low
Truck 10746,Claim 49770,Low,Low
Truck 45595,Claim 49771,Low,Low
Truck 38289,Claim 49772,Low,Low
Truck 20916,Claim 49773,Low,Low
Truck 19319,Claim 49774,Very Low,Very Low
Truck 45714,Claim 49775,Very Low,Very Low
Truck 45692,Claim 49776,Very Low,Very Low
Truck 4168,Claim 49777,Very Low,Very Low
Truck 43571,Claim 49778,Very Low,Very Low
Truck 3130,Claim 49779,Very Low,Very Low
Truck 45708,Claim 49780,Very Low,Very Low
Truck 41284,Claim 49781,Very Low,Very Low
Truck 41282,Claim 49782,Very Low,Very Low
Truck 41304,Claim 49783,Very Low,Very Low
Truck 45699,Claim 49784,Very Low,Very Low
Truck 41314,Claim 49785,Very Low,Very Low
Truck 41330,Claim 49786,Very Low,Very Low
Truck 3146,Claim 49787,Low,Low
Truck 28102,Claim 49788,Low,Low
Truck 44641,Claim 49789,Low,Low
Truck 11809,Claim 49790,Low,Low
Truck 20224,Claim 49791,Low,Very Low
Truck 20254,Claim 49792,Low,Very Low
Truck 23754,Claim 49793,Low,Very Low
Truck 11809,Claim 49794,Low,Low
Truck 40402,Claim 49795,Low,Low
Truck 14775,Claim 49796,Low,Low
Truck 38875,Claim 49797,Low,Very Low
Truck 14075,Claim 49798,Low,Low
Truck 47206,Claim 49799,Low,Very Low
Truck 7614,Claim 49800,Low,Low
Truck 38038,Claim 49801,Medium,Medium
Truck 10141,Claim 49802,Low,Low
Truck 7896,Claim 49803,Low,Low
Truck 46305,Claim 49804,Low,Low
Truck 21886,Claim 49805,Low,Low
Truck 27048,Claim 49806,Low,Very Low
Truck 39410,Claim 49807,Very Low,Very Low
Truck 36192,Claim 49808,Low,Low
Truck 25431,Claim 49809,Low,Low
Truck 12876,Claim 49810,Low,Low
Truck 32890,Claim 49811,Low,Very Low
Truck 26858,Claim 49812,Low,Low
Truck 33293,Claim 49813,Low,Low
Truck 20953,Claim 49814,Low,Very Low
Truck 2770,Claim 49815,Low,Low
Truck 47345,Claim 49816,Low,Low
Truck 6688,Claim 49817,Low,Low
Truck 22847,Claim 49818,Low,Low
Truck 39015,Claim 49819,Low,Low
Truck 14958,Claim 49820,Low,Low
Truck 17441,Claim 49821,Low,Low
Truck 45039,Claim 49822,Low,Very Low
Truck 14061,Claim 49823,Low,Low
Truck 39298,Claim 49824,Low,Low
Truck 6778,Claim 49825,Low,Low
Truck 9690,Claim 49826,Low,Very Low
Truck 9698,Claim 49827,Low,Very Low
Truck 25628,Claim 49828,Low,Low
Truck 36633,Claim 49829,Low,Low
Truck 18753,Claim 49830,Low,Low
Truck 8316,Claim 49831,Low,Very Low
Truck 9179,Claim 49832,Low,Low
Truck 47346,Claim 49833,Low,Low
Truck 20224,Claim 49834,Low,Low
Truck 3358,Claim 49835,Low,Low
Truck 40399,Claim 49836,Low,Very Low
Truck 33470,Claim 49837,Low,Low
Truck 47175,Claim 49838,Low,Low
Truck 9729,Claim 49839,Low,Low
Truck 9725,Claim 49840,Low,Low
Truck 39491,Claim 49841,Low,Low
Truck 432,Claim 49842,Low,Low
Truck 26601,Claim 49843,Low,Low
Truck 9683,Claim 49844,Low,Low
Truck 37516,Claim 49845,Low,Low
Truck 17348,Claim 49846,Low,Low
Truck 19287,Claim 49847,Low,Low
Truck 47587,Claim 49848,Low,Low
Truck 34317,Claim 49849,Very Low,Very Low
Truck 31299,Claim 49850,Low,Low
Truck 14563,Claim 49851,Low,Low
Truck 32917,Claim 49852,Low,Very Low
Truck 37302,Claim 49853,Low,Very Low
Truck 37308,Claim 49854,Low,Low
Truck 19775,Claim 49855,Low,Low
Truck 38089,Claim 49856,Low,Low
Truck 11809,Claim 49857,Low,Low
Truck 42008,Claim 49858,Low,Low
Truck 4391,Claim 49859,Very Low,Very Low
Truck 20224,Claim 49860,Low,Low
Truck 23682,Claim 49861,Low,Very Low
Truck 3009,Claim 49862,Low,Low
Truck 14111,Claim 49863,Low,Low
Truck 20245,Claim 49864,Low,Very Low
Truck 20212,Claim 49865,Low,Very Low
Truck 20218,Claim 49866,Low,Very Low
Truck 32804,Claim 49867,Low,Very Low
Truck 5831,Claim 49868,Low,Low
Truck 9498,Claim 49869,Low,Low
Truck 47237,Claim 49870,Low,Low
Truck 25659,Claim 49871,Low,Low
Truck 22722,Claim 49872,Low,Low
Truck 13689,Claim 49873,Low,Very Low
Truck 19292,Claim 49874,Low,Very Low
Truck 26568,Claim 49875,Low,Very Low
Truck 26568,Claim 49876,Low,Very Low
Truck 26568,Claim 49877,Low,Very Low
Truck 9948,Claim 49878,Low,Low
Truck 32810,Claim 49879,Low,Low
Truck 27163,Claim 49880,Low,Low
Truck 39424,Claim 49881,Low,Low
Truck 32463,Claim 49882,Low,Very Low
Truck 18847,Claim 49883,Low,Very Low
Truck 8384,Claim 49884,Low,Low
Truck 29988,Claim 49885,Low,Low
Truck 29988,Claim 49886,Low,Low
Truck 23701,Claim 49887,Low,Low
Truck 21074,Claim 49888,Low,Low
Truck 6661,Claim 49889,Low,Low
Truck 38572,Claim 49890,Low,Low
Truck 16781,Claim 49891,Low,Low
Truck 9093,Claim 49892,Low,Low
Truck 47133,Claim 49893,Low,Very Low
Truck 27240,Claim 49894,Low,Low
Truck 40379,Claim 49895,Low,Low
Truck 33334,Claim 49896,Low,Very Low
Truck 38947,Claim 49897,Low,Low
Truck 46039,Claim 49898,Low,Low
Truck 40908,Claim 49899,Low,Low
Truck 9905,Claim 49900,Low,Low
Truck 2647,Claim 49901,Low,Very Low
Truck 2648,Claim 49902,Low,Low
Truck 2023,Claim 49903,Low,Low
Truck 2277,Claim 49904,Low,Low
Truck 2078,Claim 49905,Low,Low
Truck 2225,Claim 49906,Low,Low
Truck 2654,Claim 49907,Low,Low
Truck 2649,Claim 49908,Low,Low
Truck 2636,Claim 49909,Low,Low
Truck 2658,Claim 49910,Low,Low
Truck 2639,Claim 49911,Low,Low
Truck 2671,Claim 49912,Low,Low
Truck 2635,Claim 49913,Low,Low
Truck 2667,Claim 49914,Low,Low
Truck 2680,Claim 49915,Low,Low
Truck 2650,Claim 49916,Low,Low
Truck 2645,Claim 49917,Low,Low
Truck 2231,Claim 49918,Low,Low
Truck 13791,Claim 49919,Very Low,Very Low
Truck 34257,Claim 49920,Very Low,Very Low
Truck 34289,Claim 49921,Very Low,Very Low
Truck 34286,Claim 49922,Very Low,Very Low
Truck 34256,Claim 49923,Very Low,Very Low
Truck 34282,Claim 49924,Very Low,Very Low
Truck 7191,Claim 49925,Very Low,Very Low
Truck 7182,Claim 49926,Very Low,Very Low
Truck 14013,Claim 49927,Low,Low
Truck 21754,Claim 49928,Low,Low
Truck 33608,Claim 49929,Low,Very Low
Truck 11482,Claim 49930,Low,Very Low
Truck 11483,Claim 49931,Low,Very Low
Truck 11489,Claim 49932,Low,Very Low
Truck 20241,Claim 49933,Low,Very Low
Truck 39598,Claim 49934,Low,Low
Truck 1458,Claim 49935,Very Low,Very Low
Truck 95,Claim 49936,Very Low,Very Low
Truck 154,Claim 49937,Very Low,Very Low
Truck 1444,Claim 49938,Very Low,Very Low
Truck 1132,Claim 49939,Very Low,Very Low
Truck 37,Claim 49940,Very Low,Very Low
Truck 1419,Claim 49941,Very Low,Very Low
Truck 1162,Claim 49942,Very Low,Very Low
Truck 1161,Claim 49943,Very Low,Very Low
Truck 1156,Claim 49944,Very Low,Very Low
Truck 1500,Claim 49945,Very Low,Very Low
Truck 1155,Claim 49946,Very Low,Very Low
Truck 1149,Claim 49947,Very Low,Very Low
Truck 1253,Claim 49948,Very Low,Very Low
Truck 1148,Claim 49949,Very Low,Very Low
Truck 1157,Claim 49950,Very Low,Very Low
Truck 588,Claim 49951,Very Low,Very Low
Truck 1501,Claim 49952,Very Low,Very Low
Truck 1130,Claim 49953,Very Low,Very Low
Truck 31333,Claim 49954,Low,Low
Truck 4236,Claim 49955,Very Low,Very Low
Truck 44148,Claim 49956,Low,Very Low
Truck 34150,Claim 49957,Low,Very Low
Truck 35973,Claim 49958,Low,Low
Truck 9686,Claim 49959,Low,Low
Truck 9684,Claim 49960,Low,Low
Truck 15,Claim 49961,Low,Low
Truck 1794,Claim 49962,Low,Low
Truck 21543,Claim 49963,Low,Low
Truck 20241,Claim 49964,Low,Low
Truck 8357,Claim 49965,Low,Low
Truck 9222,Claim 49966,Low,Low
Truck 10898,Claim 49967,Low,Low
Truck 46214,Claim 49968,Very Low,Very Low
Truck 29258,Claim 49969,Very Low,Very Low
Truck 47085,Claim 49970,Low,Low
Truck 7997,Claim 49971,Low,Low
Truck 9027,Claim 49972,Low,Low
Truck 42129,Claim 49973,Low,Low
Truck 45798,Claim 49974,Low,Low
Truck 38105,Claim 49975,Low,Low
Truck 45581,Claim 49976,Low,Very Low
Truck 40912,Claim 49977,Low,Very Low
Truck 32493,Claim 49978,Low,Very Low
Truck 6544,Claim 49979,Low,Low
Truck 17446,Claim 49980,Low,Low
Truck 47573,Claim 49981,Low,Very Low
Truck 1023,Claim 49982,Low,Low
Truck 30130,Claim 49983,Low,Low
Truck 24900,Claim 49984,Low,Low
Truck 17939,Claim 49985,Low,Low
Truck 24217,Claim 49986,Low,Low
Truck 32679,Claim 49987,Low,Low
Truck 429,Claim 49988,Low,Low
Truck 23588,Claim 49989,Low,Low
Truck 4524,Claim 49990,Low,Low
Truck 8385,Claim 49991,Low,Low
Truck 17862,Claim 49992,Low,Low
Truck 13963,Claim 49993,Low,Low
Truck 22076,Claim 49994,Low,Low
Truck 1033,Claim 49995,Low,Low
Truck 4394,Claim 49996,Low,Low
Truck 4723,Claim 49997,Low,Low
Truck 10554,Claim 49998,Low,Low
Truck 5607,Claim 49999,Low,Low
Truck 39597,Claim 50000,Low,Low
Truck 13992,Claim 50001,Low,Very Low
Truck 1281,Claim 50002,Low,Low
Truck 44279,Claim 50003,Low,Low
Truck 47345,Claim 50004,Low,Low
Truck 8917,Claim 50005,Low,Low
Truck 984,Claim 50006,Low,Very Low
Truck 68,Claim 50007,Low,Low
Truck 10786,Claim 50008,Low,Low
Truck 41701,Claim 50009,Low,Low
Truck 45497,Claim 50010,Low,Low
Truck 24666,Claim 50011,Low,Low
Truck 605,Claim 50012,Low,Low
Truck 676,Claim 50013,Low,Low
Truck 12875,Claim 50014,Low,Low
Truck 32351,Claim 50015,Low,Low
Truck 8361,Claim 50016,Low,Low
Truck 32770,Claim 50017,Very Low,Very Low
Truck 2955,Claim 50018,Low,Low
Truck 26995,Claim 50019,Low,Low
Truck 10032,Claim 50020,Low,Low
Truck 6920,Claim 50021,Low,Low
Truck 26568,Claim 50022,Low,Low
Truck 25476,Claim 50023,Low,Low
Truck 19232,Claim 50024,Very Low,Very Low
Truck 19236,Claim 50025,Very Low,Very Low
Truck 19276,Claim 50026,Very Low,Very Low
Truck 19298,Claim 50027,Very Low,Very Low
Truck 19259,Claim 50028,Very Low,Very Low
Truck 19082,Claim 50029,Low,Very Low
Truck 4749,Claim 50030,Low,Low
Truck 28145,Claim 50031,Very Low,Very Low
Truck 47904,Claim 50032,Low,Low
Truck 7957,Claim 50033,Low,Low
Truck 12143,Claim 50034,Low,Low
Truck 35561,Claim 50035,Low,Low
Truck 13611,Claim 50036,Low,Very Low
Truck 34868,Claim 50037,Low,Low
Truck 33987,Claim 50038,Low,Low
Truck 41741,Claim 50039,Low,Low
Truck 231,Claim 50040,Very Low,Very Low
Truck 43562,Claim 50041,Very Low,Very Low
Truck 44976,Claim 50042,Low,Low
Truck 45494,Claim 50043,Low,Low
Truck 9400,Claim 50044,Low,Low
Truck 3104,Claim 50045,Low,Very Low
Truck 7187,Claim 50046,Low,Low
Truck 3085,Claim 50047,Low,Low
Truck 11566,Claim 50048,Low,Low
Truck 4465,Claim 50049,Low,Very Low
Truck 10710,Claim 50050,Low,Low
Truck 25283,Claim 50051,Low,Low
Truck 7086,Claim 50052,Low,Low
Truck 37575,Claim 50053,Low,Low
Truck 43079,Claim 50054,Low,Very Low
Truck 23945,Claim 50055,Low,Low
Truck 14234,Claim 50056,Very Low,Very Low
Truck 3131,Claim 50057,Low,Low
Truck 4162,Claim 50058,Low,Low
Truck 20563,Claim 50059,Low,Very Low
Truck 19153,Claim 50060,Low,Very Low
Truck 45917,Claim 50061,Low,Very Low
Truck 6261,Claim 50062,Low,Low
Truck 24459,Claim 50063,Low,Very Low
Truck 41087,Claim 50064,Low,Low
Truck 31455,Claim 50065,Low,Low
Truck 8763,Claim 50066,Low,Low
Truck 14527,Claim 50067,Very Low,Very Low
Truck 427,Claim 50068,Low,Low
Truck 1835,Claim 50069,Low,Low
Truck 1854,Claim 50070,Low,Low
Truck 1855,Claim 50071,Low,Low
Truck 26387,Claim 50072,Low,Low
Truck 41134,Claim 50073,Low,Low
Truck 14075,Claim 50074,Low,Low
Truck 7452,Claim 50075,Low,Low
Truck 41798,Claim 50076,Low,Very Low
Truck 41789,Claim 50077,Low,Very Low
Truck 26944,Claim 50078,Low,Very Low
Truck 6448,Claim 50079,Low,Low
Truck 38905,Claim 50080,Low,Low
Truck 20194,Claim 50081,Low,Low
Truck 20203,Claim 50082,Low,Low
Truck 13829,Claim 50083,Low,Low
Truck 9050,Claim 50084,Low,Low
Truck 8056,Claim 50085,Low,Low
Truck 9734,Claim 50086,Low,Low
Truck 9723,Claim 50087,Low,Low
Truck 9726,Claim 50088,Low,Low
Truck 9732,Claim 50089,Low,Low
Truck 9722,Claim 50090,Low,Low
Truck 10092,Claim 50091,Low,Low
Truck 14016,Claim 50092,Low,Low
Truck 38136,Claim 50093,Low,Low
Truck 10810,Claim 50094,Low,Low
Truck 6462,Claim 50095,Low,Low
Truck 41798,Claim 50096,Low,Very Low
Truck 9695,Claim 50097,Low,Low
Truck 9687,Claim 50098,Low,Low
Truck 9698,Claim 50099,Low,Low
Truck 9699,Claim 50100,Low,Low
Truck 9691,Claim 50101,Low,Low
Truck 9682,Claim 50102,Low,Low
Truck 9701,Claim 50103,Low,Low
Truck 9398,Claim 50104,Low,Very Low
Truck 43773,Claim 50105,Low,Very Low
Truck 7620,Claim 50106,Low,Very Low
Truck 7779,Claim 50107,Low,Low
Truck 12447,Claim 50108,Low,Low
Truck 38867,Claim 50109,Low,Very Low
Truck 37451,Claim 50110,Low,Low
Truck 16984,Claim 50111,Low,Low
Truck 25124,Claim 50112,Low,Low
Truck 20602,Claim 50113,Low,Low
Truck 43489,Claim 50114,Low,Low
Truck 25681,Claim 50115,Low,Low
Truck 46578,Claim 50116,Low,Low
Truck 24554,Claim 50117,Very Low,Very Low
Truck 16360,Claim 50118,Low,Low
Truck 7177,Claim 50119,Very Low,Very Low
Truck 13793,Claim 50120,Low,Low
Truck 32866,Claim 50121,Low,Low
Truck 7191,Claim 50122,Low,Low
Truck 8095,Claim 50123,Low,Low
Truck 38851,Claim 50124,Low,Low
Truck 24550,Claim 50125,Low,Low
Truck 38652,Claim 50126,Low,Low
Truck 36392,Claim 50127,Low,Low
Truck 21172,Claim 50128,Low,Low
Truck 25254,Claim 50129,Low,Low
Truck 19236,Claim 50130,Low,Low
Truck 15099,Claim 50131,Low,Low
Truck 3524,Claim 50132,Low,Low
Truck 2878,Claim 50133,Low,Low
Truck 33492,Claim 50134,Low,Very Low
Truck 46214,Claim 50135,Low,Low
